Mercury 3.3E+23 -3.156137811366085E-01 -3.191189844547718E-01 2.877537804514854E-03 1.427868464508035E-02 -1.850094117980993E-02 -2.821678050101954E-03
Venus 4.9E+24 7.251719286297662E-01 -1.989367777532633E-02 -4.211977696628855E-02 4.660808470542684E-04 2.012626765298004E-02 2.492084472362770E-04
Earth 6.0E+24 9.802847198820968E-01 1.985315373102593E-01 -1.311402644256619E-05 -3.690420741778918E-03 1.680288165107572E-02 -1.365555833652038E-06
Mars 6.6E+23 1.352618485367857E+00 -2.899193344700257E-01 -3.926532819311866E-02 3.466725798749384E-03 1.487861912167850E-02 2.267036207422733E-04
Jupiter 1.9E+27 -2.718372435956646E+00 -4.635481094749287E+00 8.007778959308992E-02 6.424020580469619E-03 -3.465261634530814E-03 -1.293772151439164E-04
Saturn 5.5E+26 1.502371427456188E+00 -9.949882621021162E+00 1.131515649472244E-01 5.217067489840188E-03 8.123661888109588E-04 -2.214218665886049E-04
Uranus 8.8E+25 1.719403517877812E+01 9.961480862820476E+00 -1.856514134335153E-01 -1.993907601376148E-03 3.216528789411935E-03 3.756198293268546E-05
Neptune 1.03E+26 2.891326567491073E+01 -7.757225027880931E+00 -5.066627025338882E-01 7.994798135211474E-04 3.047717884495844E-03 -8.164013614058485E-05
