135 34403 1566.09 3.774 5.44866e-14
136 35002 1600.8 3.847 2.33549e-14
137 35537 1676.5 4.16 6.40678e-14
138 36025 1683.06 3.954 2.89329e-14
139 36512 1778.81 4.006 5.52324e-14
140 36890 1792.43 4.121 2.4966e-14
141 37513 1881.01 4.272 6.31707e-14
142 38129 1897.18 4.239 2.41445e-12
143 38536 1971.33 4.327 3.05744e-14
144 39223 2040.57 4.425 2.61325e-14
145 39768 2091.84 4.493 2.46996e-14
146 40337 2139.88 4.57 5.49596e-14
147 41069 2245.51 4.637 6.23372e-14
148 41286 2240.57 4.649 2.71946e-14
149 41818 2341.03 4.784 2.14e-13
150 42356 2355.2 4.843 5.18246e-14
