2 2 0.005 0.109 3.33067e-16
3 10 0.007 0.127 6.47681e-16
4 7 0.015 0.121 3.64481e-15
5 34 0.035 0.125 6.92059e-16
6 40 0.034 0.121 1.66759e-15
7 74 0.055 0.155 7.93079e-16
8 85 0.063 0.142 2.36289e-15
9 130 0.117 0.141 3.71593e-15
10 152 0.119 0.136 1.60237e-15
11 213 0.176 0.179 1.20687e-14
12 225 0.195 0.14 1.38574e-15
13 288 0.268 0.144 1.30053e-14
14 322 0.324 0.18 2.3035e-15
15 392 0.407 0.141 4.87916e-15
16 450 0.491 0.158 4.39857e-15
17 508 0.599 0.158 5.79623e-15
18 567 0.732 0.166 4.69076e-14
19 653 0.892 0.176 9.83848e-15
20 705 1 0.169 4.56586e-15
21 795 1.218 0.166 2.95699e-15
22 872 1.42 0.189 6.30009e-15
23 951 1.669 0.188 2.83667e-14
24 1024 1.835 0.226 7.10673e-15
25 1126 2.129 0.188 6.78333e-15
26 1216 2.431 0.193 4.85519e-15
27 1315 2.779 0.2 5.21401e-15
28 1422 3.159 0.21 5.94609e-15
29 1542 3.617 0.233 9.59162e-15
30 1639 4.068 0.216 1.4651e-13
31 1785 4.684 0.216 5.79673e-15
32 1885 5.117 0.231 7.72579e-15
33 1994 5.707 0.278 9.48864e-15
34 2120 6.372 0.282 8.16438e-15
35 2256 7.149 0.284 4.47241e-14
36 2382 7.963 0.293 7.18088e-15
37 2560 9.084 0.307 7.53448e-15
38 2635 9.78 0.318 8.25234e-15
39 2851 11.184 0.339 1.02999e-14
40 2969 12.46 0.362 5.7059e-15
41 3090 13.706 0.393 7.75708e-15
42 3229 15.093 0.378 9.73859e-15
43 3448 16.87 0.379 1.9915e-14
44 3563 18.369 0.423 7.56466e-14
45 3730 20.487 0.469 1.1459e-14
46 3926 22.457 0.436 7.54354e-15
47 4117 24.827 0.474 7.75379e-15
48 4273 26.447 0.455 8.33192e-15
49 4484 29.067 0.503 2.78405e-13
50 4651 32.372 0.479 7.60524e-15
51 4859 34.591 0.533 1.64916e-14
52 5064 36.872 0.537 2.01135e-14
53 5207 39.113 0.552 1.77473e-14
54 5440 42.809 0.571 1.473e-14
55 5648 48.194 0.583 8.98479e-15
56 5862 48.968 0.597 6.86326e-14
57 6082 53.888 0.661 9.84534e-15
58 6302 56.914 0.667 9.63274e-15
59 6470 59.647 0.661 4.06202e-14
60 6646 63.618 0.677 1.29861e-14
61 6953 69.394 0.733 1.10033e-14
62 7205 72.831 0.716 1.17077e-14
63 7475 78.744 0.771 1.16206e-14
64 7633 88.605 0.795 2.48454e-14
65 7909 89.566 0.776 1.42576e-14
66 8162 95.017 0.811 4.8197e-14
67 8447 98.395 0.846 1.08121e-14
68 8689 104.748 0.861 4.6263e-14
69 8901 109.965 0.92 1.19066e-14
70 9176 117.904 0.933 1.84626e-14
71 9474 127.381 0.944 1.50238e-14
72 9725 127.888 0.964 1.4671e-14
73 9976 145.962 0.999 2.35419e-13
74 10264 150.855 1.013 1.33596e-14
75 10549 149.039 1.082 1.5014e-14
76 10827 160.01 1.097 1.58578e-14
77 11120 172.783 1.114 1.68249e-14
78 11484 178.689 1.179 1.33078e-14
79 11677 191.599 1.151 1.40851e-14
80 12043 198.609 1.193 1.75193e-13
81 12338 209.213 1.265 1.49086e-14
82 12601 222.259 1.294 7.86868e-14
83 12885 221.067 1.312 3.61386e-14
84 13241 233.823 1.31 2.6555e-14
85 13638 253.319 1.338 2.73238e-14
86 13860 261.506 1.382 1.60122e-14
87 14241 275.389 1.427 4.67024e-14
88 14490 280.826 1.555 1.62357e-14
89 14964 301.916 1.536 4.37519e-14
90 15213 496.34 1.556 2.77439e-14
91 15595 316.802 1.595 1.90595e-14
92 15946 339.994 1.588 1.80332e-14
93 16267 368.274 1.666 1.70405e-14
94 16562 359.31 1.681 2.60062e-14
95 16985 392.287 1.716 5.57065e-14
96 17297 395.876 1.756 3.22227e-14
97 17700 416.452 1.813 1.888e-14
98 18069 439.424 1.825 2.22754e-14
99 18466 445.921 1.878 3.08777e-13
100 18917 465.791 1.901 1.96527e-14
101 19189 492.972 1.949 2.05162e-14
102 19590 510.244 2.009 2.38273e-14
103 19963 532.827 2.029 1.74921e-14
104 20329 541.687 2.055 2.05556e-13
105 20775 564.038 2.239 2.72906e-14
106 21137 609.497 2.176 3.05655e-14
107 21618 631.962 2.213 4.02529e-14
108 21900 708.378 2.323 2.35282e-14
109 22378 652.158 2.376 1.11576e-13
110 22791 682.375 2.325 1.90054e-14
111 23206 730.864 2.465 4.00872e-13
112 23726 725.858 2.435 2.21866e-14
113 24201 769.616 2.488 6.32324e-14
114 24452 815.348 2.539 2.31845e-14
115 24952 796.44 2.589 2.10111e-14
116 25421 825.51 2.649 3.40064e-14
117 25934 869.216 2.721 2.07554e-14
118 26171 898.303 2.764 3.22167e-14
119 26727 941.604 2.929 2.07081e-14
120 27279 949.058 2.836 2.48084e-14
121 27865 988.265 2.962 4.79999e-14
122 28197 1065.84 2.992 3.6697e-14
123 28574 1083.52 3.105 4.00717e-13
124 28946 1078.03 3.072 5.36694e-14
125 29441 1129.03 3.149 2.8469e-14
126 29942 1134.27 3.178 3.7759e-14
127 30428 1236.83 3.244 3.75357e-14
128 30908 2239.33 3.326 2.7007e-14
129 31512 1317.89 3.511 2.64179e-14
130 31832 1443.27 3.515 2.47865e-13
131 32544 1373.09 3.503 4.22155e-14
132 32958 1490.38 3.595 2.27561e-14
133 33480 1485.32 3.61 2.31763e-14
134 33968 1469.26 3.748 4.34995e-14
