1 0.01
1 0.009
1 0.009
1 0.009
1 0.006
1 0.007
1 0.006
1 0.007
1 0.006
1 0.007
2 0.013
2 0.014
2 0.012
2 0.014
2 0.013
2 0.013
2 0.012
2 0.012
2 0.013
2 0.012
3 0.063
3 0.063
3 0.062
3 0.062
3 0.063
3 0.062
3 0.063
3 0.063
3 0.063
3 0.063
4 0.607
4 0.609
4 0.594
4 0.608
4 0.609
4 0.601
4 0.609
4 0.611
4 0.608
4 0.61
5 6.289
5 6.53
5 6.287
5 6.319
5 6.309
5 6.267
5 6.279
5 6.292
5 6.3
5 6.273
6 63.397
6 62.647
6 62.075
6 64.882
6 62.211
6 62.241
6 62.087
6 62.153
6 62.19
6 62.101
7 628.371
7 630.57
7 622.989
7 624.21
7 635.484
7 623.131
7 625.964
7 636.627
7 637.153
7 625.364
