1 0.002
1 0.002
1 0.002
1 0.003
1 0.002
1 0.002
1 0.002
1 0.001
1 0.001
1 0.001
2 0.003
2 0.004
2 0.003
2 0.003
2 0.004
2 0.005
2 0.005
2 0.003
2 0.003
2 0.003
3 0.021
3 0.022
3 0.028
3 0.026
3 0.022
3 0.029
3 0.023
3 0.021
3 0.021
3 0.021
4 0.219
4 0.254
4 0.256
4 0.313
4 0.238
4 0.233
4 0.215
4 0.233
4 0.218
4 0.224
5 2.183
5 2.183
5 2.362
5 2.177
5 2.163
5 2.152
5 2.15
5 2.155
5 2.153
5 2.53
6 21.824
6 21.897
6 22.001
6 21.859
6 21.946
6 21.914
6 21.91
6 21.939
6 21.874
6 21.816
7 218.563
7 218.898
7 218.687
7 218.248
7 218.203
7 218.468
7 228.056
7 220.59
7 218.131
7 218.848
