      2.0000000     -1.7456153     0.74794430     0.45571320     0.39704061     0.91133421
      2.0100000     -1.7383077     0.76748491     0.45406035     0.42529262     0.90800887
      2.0200000     -1.7306561     0.78675191     0.45220048     0.46332924     0.90440861
      2.0300000     -1.7229076     0.80258571     0.45037726     0.49384743     0.90072301
      2.0400000     -1.7149086     0.82869006     0.44844342     0.54064062     0.89679849
      2.0500000     -1.7067812     0.85527992     0.44636514     0.59004122     0.89277877
      2.0600000     -1.6983437     0.87739289     0.44417860     0.65190489     0.88846957
      2.0700000     -1.6895614     0.90372556     0.44179844     0.73058872     0.88380213
      2.0800000     -1.6807005     0.93253317     0.43950512     0.80879460     0.87904104
      2.0900000     -1.6716351     0.95215357     0.43714245     0.88174542     0.87412135
      2.1000000     -1.6621503     0.97631233     0.43458235     0.94383722     0.86885814
      2.1100000     -1.6524954      1.0084897     0.43169606      1.0596745     0.86321755
      2.1200000     -1.6421731      1.0467717     0.42855757      1.2072351     0.85694516
      2.1300000     -1.6315831      1.0796109     0.42514271      1.4175580     0.84999465
      2.1400000     -1.6209995      1.1097952     0.42204437      1.5250167     0.84357857
      2.1500000     -1.6100281      1.1561964     0.41802507      1.7864306     0.83614078
      2.1600000     -1.5983946      1.1931036     0.41433584      2.1012310     0.82782457
      2.1700000     -1.5860168      1.2418429     0.40954214      2.5479246     0.81835758
      2.1800000     -1.5735321      1.3112915     0.40382220      3.2345188     0.80845166
      2.1900000     -1.5598995      1.3791079     0.39767223      4.4860916     0.79611624
      2.2000000     -1.5468636      1.4188424     0.39269506      4.6953835     0.78566311
      2.2100000     -1.5316494      1.5137295     0.38528132      6.4531196     0.76943268
      2.2200000     -1.5173298      1.5522263     0.37806254      7.7322228     0.75636706
      2.2300000     -1.5007108      1.6866552     0.36967846      10.917229     0.73542056
      2.2400000     -1.4826627      1.8033960     0.35724863      14.740883     0.71102668
      2.2500000     -1.4644556      1.9966385     0.33758194      30.417181     0.67895741
      2.2600000     -1.4429899      2.1625451     0.18527837      43.564695     0.63617474
      2.2700000     -1.4203319      2.2899681     0.28742574      71.429949     0.57726128
      2.2800000     -1.3965177      2.3501633    -0.14566240      89.345387     0.51775460
      2.2900000     -1.3725399      2.2796916    0.074443455      98.232732     0.44577882
      2.3000000     -1.3504241      2.1108170   -0.016030650      104.11256     0.37507004
